# java.version=25.0.2.0.101 tzdata=2026a
America/Aruba	America/Aruba	false	Atlantic Standard Time	Atlantic Daylight Time	AST	ADT
America/Asuncion	America/Asuncion	false	Paraguay Standard Time	Paraguay Summer Time	GMT-03:00	GMT-02:00
America/Atikokan	America/Atikokan	false	Eastern Standard Time	Eastern Daylight Time	EST	EDT
America/Atka	America/Atka	true	Hawaii-Aleutian Standard Time	Hawaii-Aleutian Daylight Time	HAST	HADT
America/Bahia	America/Bahia	false	Brasilia Standard Time	Brasilia Summer Time	GMT-03:00	GMT-02:00
America/Bahia_Banderas	America/Bahia_Banderas	false	Central Standard Time	Central Daylight Time	CST	CDT
America/Barbados	America/Barbados	false	Atlantic Standard Time	Atlantic Daylight Time	AST	ADT
America/Belem	America/Belem	false	Brasilia Standard Time	Brasilia Summer Time	GMT-03:00	GMT-02:00
America/Belize	America/Belize	false	Central Standard Time	Central Daylight Time	CST	CDT
America/Blanc-Sablon	America/Blanc-Sablon	false	Atlantic Standard Time	Atlantic Daylight Time	AST	ADT
America/Boa_Vista	America/Boa_Vista	false	Amazon Standard Time	Amazon Summer Time	GMT-04:00	GMT-03:00
America/Bogota	America/Bogota	false	Colombia Standard Time	Colombia Summer Time	GMT-05:00	GMT-04:00
America/Boise	America/Boise	true	Mountain Standard Time	Mountain Daylight Time	MST	MDT
America/Buenos_Aires	America/Buenos_Aires	false	Argentina Standard Time	Argentina Summer Time	GMT-03:00	GMT-02:00
America/Cambridge_Bay	America/Cambridge_Bay	true	Mountain Standard Time	Mountain Daylight Time	MST	MDT
America/Campo_Grande	America/Campo_Grande	false	Amazon Standard Time	Amazon Summer Time	GMT-04:00	GMT-03:00
America/Cancun	America/Cancun	false	Eastern Standard Time	Eastern Daylight Time	EST	EDT
America/Caracas	America/Caracas	false	Venezuela Time	Caracas Daylight Time	GMT-04:00	GMT-04:00
America/Catamarca	America/Catamarca	false	Argentina Standard Time	Argentina Summer Time	GMT-03:00	GMT-02:00
America/Cayenne	America/Cayenne	false	French Guiana Time	Cayenne Daylight Time	GMT-03:00	GMT-03:00
America/Cayman	America/Cayman	false	Eastern Standard Time	Eastern Daylight Time	EST	EDT
America/Chicago	America/Chicago	true	Central Standard Time	Central Daylight Time	CST	CDT
America/Chihuahua	America/Chihuahua	false	Central Standard Time	Central Daylight Time	CST	CDT
America/Ciudad_Juarez	America/Ciudad_Juarez	true	Mountain Standard Time	Mountain Daylight Time	MST	MDT
America/Coral_Harbour	America/Coral_Harbour	false	Eastern Standard Time	Eastern Daylight Time	EST	EDT
America/Cordoba	America/Cordoba	false	Argentina Standard Time	Argentina Summer Time	GMT-03:00	GMT-02:00
America/Costa_Rica	America/Costa_Rica	false	Central Standard Time	Central Daylight Time	CST	CDT
America/Coyhaique	America/Coyhaique	false	Coyhaique Standard Time	Coyhaique Daylight Time	GMT-03:00	GMT-02:00
America/Creston	America/Creston	false	Mountain Standard Time	Mountain Daylight Time	MST	MDT
America/Cuiaba	America/Cuiaba	false	Amazon Standard Time	Amazon Summer Time	GMT-04:00	GMT-03:00
America/Curacao	America/Curacao	false	Atlantic Standard Time	Atlantic Daylight Time	AST	ADT
America/Danmarkshavn	America/Danmarkshavn	false	Greenwich Mean Time	Danmarkshavn Daylight Time	GMT	GMT
America/Dawson	America/Dawson	false	Yukon Time	Dawson Daylight Time	MST	MST
America/Dawson_Creek	America/Dawson_Creek	false	Mountain Standard Time	Mountain Daylight Time	MST	MDT
America/Denver	America/Denver	true	Mountain Standard Time	Mountain Daylight Time	MST	MDT
America/Detroit	America/Detroit	true	Eastern Standard Time	Eastern Daylight Time	EST	EDT
America/Dominica	America/Dominica	false	Atlantic Standard Time	Atlantic Daylight Time	AST	ADT
America/Edmonton	America/Edmonton	true	Mountain Standard Time	Mountain Daylight Time	MST	MDT
America/Eirunepe	America/Eirunepe	false	Acre Standard Time	Acre Summer Time	GMT-05:00	GMT-04:00
America/El_Salvador	America/El_Salvador	false	Central Standard Time	Central Daylight Time	CST	CDT
America/Ensenada	America/Ensenada	true	Pacific Standard Time	Pacific Daylight Time	PST	PDT
America/Fort_Nelson	America/Fort_Nelson	false	Mountain Standard Time	Mountain Daylight Time	MST	MDT
America/Fort_Wayne	America/Fort_Wayne	true	Eastern Standard Time	Eastern Daylight Time	EST	EDT
America/Fortaleza	America/Fortaleza	false	Brasilia Standard Time	Brasilia Summer Time	GMT-03:00	GMT-02:00
America/Glace_Bay	America/Glace_Bay	true	Atlantic Standard Time	Atlantic Daylight Time	AST	ADT
America/Godthab	America/Godthab	true	Greenland Standard Time	Greenland Summer Time	GMT-02:00	GMT-01:00
America/Goose_Bay	America/Goose_Bay	true	Atlantic Standard Time	Atlantic Daylight Time	AST	ADT
America/Grand_Turk	America/Grand_Turk	true	Eastern Standard Time	Eastern Daylight Time	EST	EDT
America/Grenada	America/Grenada	false	Atlantic Standard Time	Atlantic Daylight Time	AST	ADT
America/Guadeloupe	America/Guadeloupe	false	Atlantic Standard Time	Atlantic Daylight Time	AST	ADT
America/Guatemala	America/Guatemala	false	Central Standard Time	Central Daylight Time	CST	CDT
America/Guayaquil	America/Guayaquil	false	Ecuador Time	Guayaquil Daylight Time	GMT-05:00	GMT-04:00
America/Guyana	America/Guyana	false	Guyana Time	Guyana Daylight Time	GMT-04:00	GMT-04:00
America/Halifax	America/Halifax	true	Atlantic Standard Time	Atlantic Daylight Time	AST	ADT
America/Havana	America/Havana	true	Cuba Standard Time	Cuba Daylight Time	CST	CDT
America/Hermosillo	America/Hermosillo	false	Mexican Pacific Standard Time	Mexican Pacific Daylight Time	MST	MDT
America/Indiana/Indianapolis	America/Indiana/Indianapolis	true	Eastern Standard Time	Eastern Daylight Time	EST	EDT
America/Indiana/Knox	America/Indiana/Knox	true	Central Standard Time	Central Daylight Time	CST	CDT
America/Indiana/Marengo	America/Indiana/Marengo	true	Eastern Standard Time	Eastern Daylight Time	EST	EDT
America/Indiana/Petersburg	America/Indiana/Petersburg	true	Eastern Standard Time	Eastern Daylight Time	EST	EDT
America/Indiana/Tell_City	America/Indiana/Tell_City	true	Central Standard Time	Central Daylight Time	CST	CDT
America/Indiana/Vevay	America/Indiana/Vevay	true	Eastern Standard Time	Eastern Daylight Time	EST	EDT
America/Indiana/Vincennes	America/Indiana/Vincennes	true	Eastern Standard Time	Eastern Daylight Time	EST	EDT
